,SKOLENHETSKOD,English_avg_score,Math_avg_score,Swedish_avg_score,Swedish_as_a_second_language_avg_score,grand_avg_score,HUVUDMANNATYP,KOMMUNNAMN,SKOLENHETENS NAMN,BESÖKSADRESS,BESÖKSPOSTNR,BESÖKSPOSTORT,WEBB,FKLASS,lon,lat,Google_rating,point,median_kSEK,residual
214,47462120,15.433333333333332,12.166666666666666,12.991666666666664,,13.530555555555551,Enskild,Sollentuna,Dibber International School Sollentuna ,Lindvägen 16,19270,Sollentuna,https://dibber.se/skola/international-school-sollentuna/,J,17.9232348,59.45344409999999,3.6,POINT (17.9232348 59.45344409999999),389.96250000000003,-1.157119664566471
215,47640376,14.641666666666666,12.9,13.783333333333331,,13.775,Kommunal,Haninge,Dalarö skola,Odinsvägen 31,13770,Dalarö,http://haninge.se/forskola-och-skola/grundskola/,J,18.4089167,59.1346909,2.5,POINT (18.4089167 59.1346909),338.75,0.3109560936124929
216,47979659,14.125,12.566666666666668,12.449999999999998,,13.047222222222222,Kommunal,Stockholm,Backluraskolan,Brunklövergränd 12,16577,Hässelby,https://grundskola.stockholm/hitta-grundskola/grundskola/backluraskolan-f-6/,J,17.8165814,59.3920895,3.0,POINT (17.8165814 59.3920895),362.66,-0.9881084737458021
217,47986219,19.3,14.6,15.366666666666664,,16.42222222222222,Enskild,Sollentuna,Futuraskolan International Rådan,Rådan 3,19138,Sollentuna,http://www.futuraskolan.se,J,18.0010892,59.39975159999999,3.9,POINT (18.0010892 59.39975159999999),475.22857142857146,-0.3027336422566229
218,48312263,15.025,11.966666666666669,12.741666666666664,,13.244444444444444,Kommunal,Tyresö,Hanvikens skola,Lindalsvägen 47,13550,Tyresö,http://www.tyreso.se,J,18.2099955,59.23632970000001,3.0,POINT (18.2099955 59.23632970000001),319.77272727272725,0.23382861046837888
219,48328583,15.841666666666663,12.6,14.091666666666663,11.85,13.595833333333331,Kommunal,Stockholm,Årstaskolan,Hjälmarsvägen 16,12053,Årsta,https://grundskola.stockholm/hitta-grundskola/grundskola/arstaskolan-f-9/,J,18.0539931,59.29943160000001,3.7,POINT (18.0539931 59.29943160000001),365.5529411764706,-0.5086190304369165
220,48760074,16.425,12.1,14.341666666666669,,14.28888888888889,Enskild,Solna,Vittra Frösunda,Anders Lundströms gata 5,16973,Solna,http://www.vittra.se/frosunda,J,18.015305,59.3705191,3.7,POINT (18.015305 59.3705191),366.1,0.17136553059727788
221,49021135,14.841666666666669,12.233333333333334,13.391666666666666,,13.488888888888887,Enskild,Upplands Väsby,Södervikskolan,Söderviksvägen 1,19454,Upplands Väsby,http://www.sodervikskolan.se,N,17.9474737,59.5238551,4.0,POINT (17.9474737 59.5238551),334.90000000000003,0.1168338632995809
222,49631077,16.03333333333333,13.0,14.483333333333334,,14.505555555555556,Kommunal,Lidingö,Högsätra skola,Högsätravägen 8,18158,Lidingö,https://www.lidingo.se/hogsatraskola,J,18.1553911,59.3505657,3.1,POINT (18.1553911 59.3505657),365.8363636363636,0.3943313177908596
223,49741755,16.2375,15.35,14.525000000000002,,15.370833333333335,Kommunal,Stockholm,Lugnets skola,Lugnets allé 66,12068,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/lugnets-skola-f-6/,J,18.1075783,59.30562500000001,3.1,POINT (18.1075783 59.30562500000001),396.6173913043478,0.5241513592059555
224,49862579,13.45,11.866666666666667,12.541666666666668,,12.619444444444444,Kommunal,Stockholm,Fagersjöskolan,Havsörnsgränd 16,12349,Farsta,https://grundskola.stockholm/hitta-grundskola/grundskola/fagersjoskolan-f-6/,J,18.0623004,59.2456952,2.6,POINT (18.0623004 59.2456952),302.2,0.028697575245054452
225,50060022,14.324999999999998,10.4,11.483333333333334,9.5,11.427083333333332,Kommunal,Stockholm,Smedshagsskolan,Smedshagsvägen 3,16573,Hässelby,https://grundskola.stockholm/hitta-grundskola/grundskola/smedshagsskolan-f-9/,J,17.8230838,59.378849,3.5,POINT (17.8230838 59.378849),365.85714285714283,-2.6846373868374265
226,50783450,15.275,13.5,14.041666666666666,7.6,12.604166666666666,Kommunal,Huddinge,Vistaskolan,Vista Skolväg 1,14150,Huddinge,http://www.huddinge.se/vistaskolan,J,17.9509121,59.23270969999999,3.1,POINT (17.9509121 59.23270969999999),317.02,-0.34067766056631754
227,50848996,15.116666666666667,13.333333333333334,13.858333333333334,,14.10277777777778,Enskild,Stockholm,Raoul Wallenbergskolan Bromma,Beckombergavägen 316,16861,Bromma,http://www.raoulwallenbergskolan.se,J,17.9026189,59.35686500000001,,POINT (17.9026189 59.35686500000001),391.77647058823527,-0.6282390330488177
228,50905672,14.691666666666668,12.566666666666668,13.383333333333333,,13.547222222222222,Kommunal,Norrtälje,Rådmansö skola,Kungsgårdsvägen 34,76194,Norrtälje,http://www.norrtalje.se,J,18.9588234,59.749489,5.0,POINT (18.9588234 59.749489),281.5,1.4510649199118628
229,51100048,14.2,12.4,14.575,,13.725,Kommunal,Sundbyberg,Kymlingeskolan,Oxenstjärnas Alle 41,17463,Sundbyberg,http://www.sundbyberg.se,J,17.9472169,59.38630250000001,4.5,POINT (17.9472169 59.38630250000001),288.8235294117647,1.4538600290971875
230,51210001,11.916666666666666,6.3,10.308333333333332,3.5666666666666664,8.022916666666667,Kommunal,Södertälje,Ronnaskolan,Robert Anbergs väg 1-3,15153,Södertälje,http://www.sodertalje.se/ronnaskolan,J,17.5984288,59.20540889999999,3.6,POINT (17.5984288 59.20540889999999),228.1,-2.797342912364744
231,51305351,15.225,14.800000000000002,13.966666666666669,,14.66388888888889,Kommunal,Österåker,Tråsättraskolan,Sjöfågelvägen 1,18461,Åkersberga,http://www.osteraker.se,N,18.3404538,59.4759286,2.0,POINT (18.3404538 59.4759286),379.24,0.23240867509380614
232,51341279,14.533333333333331,10.366666666666667,12.975,10.266666666666667,12.035416666666666,Kommunal,Stockholm,Grimstaskolan,Kanngjutargränd 12,16257,Vällingby,https://grundskola.stockholm/hitta-grundskola/grundskola/grimstaskolan-f-9/,J,17.8649368,59.36049259999999,3.3,POINT (17.8649368 59.36049259999999),273.9799999999999,0.11893634711019985
