SKOLENHETSKOD,English_avg_score,Math_avg_score,Swedish_avg_score,Swedish_as_a_second_language_avg_score,grand_avg_score,HUVUDMANNATYP,KOMMUNNAMN,SKOLENHETENS NAMN,BESÖKSADRESS,BESÖKSPOSTNR,BESÖKSPOSTORT,WEBB,FKLASS,lon,lat,Google_rating
26852132,16.658333333333335,15.166666666666666,15.183333333333332,,15.669444444444444,Kommunal,Stockholm,Solhemsskolan,Sörgårdsvägen 40,16352,Spånga,https://grundskola.stockholm/hitta-grundskola/grundskola/solhemsskolan-f-6/,J,17.8911807,59.3808591,4.6
27273328,14.65,10.433333333333334,12.933333333333332,,12.672222222222222,Kommunal,Stockholm,Årstadalsskolan,Sjöviksbacken 19,11743,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/arstadalsskolan-f-6/,J,18.0311582,59.3048763,3.9
27323097,15.816666666666665,13.866666666666665,14.35,,14.677777777777777,Enskild,Solna,Noblaskolan Solna,Gustav III:s Boulevard 15,16972,Solna,https://noblaskolan.se/solna/,J,18.0147838,59.3686525,3.6
27357778,14.716666666666667,14.633333333333335,16.3,12.858333333333334,14.627083333333335,Kommunal,Stockholm,Oxhagsskolan,Helsingforsgatan 4,16478,Kista,https://grundskola.stockholm/hitta-grundskola/grundskola/oxhagsskolan-f-6/,J,17.9199697,59.4126619,3.9
27595656,15.950000000000001,13.733333333333334,14.675000000000002,,14.786111111111113,Enskild,Ekerö,Birkaskolan,Auroravägen 12,17832,Ekerö,http://www.birkaskolan.se,J,17.8048064,59.29108119999999,2.8
28231215,16.208333333333332,14.199999999999998,14.908333333333333,,15.105555555555554,Enskild,Ekerö,Drottningholmskolan,Skolallén 3,17893,Drottningholm,http://www.drottningholmskolan.se,J,17.8629939,59.3221696,4.0
28313791,14.341666666666667,11.566666666666668,12.799999999999999,,12.902777777777779,Kommunal,Huddinge,Tomtbergaskolan,Kommunalvägen 31 A,14148,Huddinge,http://www.huddinge.se/tomtbergaskolan,J,17.9912941,59.2405922,3.3
28799594,15.7625,13.65,15.0875,,14.833333333333334,Kommunal,Sollentuna,Kärrdalsskolan,Lomvägen 23,19256,Sollentuna,http://sites.google.com/a/edu.sollentuna.se/kdl/,J,17.9978618,59.4318575,4.9
29158808,16.175,13.766666666666666,14.591666666666669,,14.844444444444443,Kommunal,Stockholm,Observatorielundens skola,Sandåsgatan 2,11327,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/observatorielundens-skola-f-9/,J,18.0525426,59.3421582,2.3
29278599,15.741666666666669,12.733333333333334,13.058333333333332,,13.844444444444443,Kommunal,Vallentuna,Lovisedalsskolan,Uthamra skolväg 1 ,18653,Vallentuna,http://www.vallentuna.se/lovisedal/,J,18.062647,59.50989860000001,3.3
29371242,17.224999999999998,15.866666666666665,15.200000000000001,,16.09722222222222,Enskild,Stockholm,Campus Manilla,Manillavägen 32-36,11521,Stockholm,http://www.campusmanilla.se,J,18.1333486,59.32346569999999,2.8
29410344,16.366666666666667,14.1,14.600000000000001,,15.022222222222224,Kommunal,Stockholm,Kungsholmens grundskola,S:t Göransgatan 73,11238,Stockholm,http://www.kungsholmensgrundskola.stockholm.se/,J,18.0281804,59.333565,4.1
29497099,17.4375,11.7,15.5125,10.175,13.70625,Enskild,Södertälje,Internationella Engelska Skolan Södertälje,Häradsvägen 10,15248,Södertälje,http://www.engelska.se,J,17.6363978,59.2122257,3.7
29524966,12.9375,8.0,,11.6375,10.858333333333334,Enskild,Botkyrka,Freinetskolan Kastanjen,Slagsta Gårdsväg 2,14574,Norsborg,http://www.kastanjen.nu,J,17.8460149,59.2530501,3.2
29705473,14.291666666666664,9.666666666666666,12.899999999999999,9.883333333333333,11.685416666666665,Kommunal,Stockholm,Snösätraskolan,Vallhornsgatan 21,12461,Bandhagen,https://grundskola.stockholm/hitta-grundskola/grundskola/snosatraskolan-f-6/,J,18.0330208,59.2561835,4.0
29725531,17.816666666666666,13.733333333333334,14.85,12.350000000000001,14.6875,Enskild,Stockholm,Engelska Skolan Norr,Roslagstullsbacken 4,11421,Stockholm,http://www.esn.se,J,18.0592348,59.3505912,3.6
29796042,14.733333333333334,10.766666666666666,12.924999999999999,,12.808333333333332,Enskild,Stockholm,Tornadoskolan AB,Gondolgatan 16. 3 tr,12832,Skarpnäck,http://www.tornadoskolan.se,J,18.1362341,59.2668093,3.6
30270791,13.291666666666666,9.366666666666667,11.966666666666667,7.4750000000000005,10.525,Kommunal,Haninge,Åbyskolan,Bokstigen 14,13734,Västerhaninge,http://haninge.se/forskola-och-skola/grundskola/,J,18.1039063,59.1250942,1.0
31018677,14.791666666666666,8.233333333333333,11.783333333333333,7.483333333333332,10.572916666666666,Kommunal,Upplands Väsby,Väsby skola,Skolvägen 11,19476,Upplands Väsby,http://www.upplandsvasby.se/vasbyskola,J,17.9084579,59.5218304,3.6
31281674,14.15,10.533333333333333,14.9,,13.194444444444445,Kommunal,Tyresö,Nyboda skola,Pluggvägen 2,13546,Tyresö,http://www.tyreso.se,N,18.2287552,59.24025400000001,2.4
31528772,14.775,10.033333333333333,15.966666666666667,,13.591666666666667,Enskild,Södertälje,Mariaskolan,Hjulåkersvägen 1,15332,Järna,http://www.mariaskolan.nu,J,17.5590833,59.0857395,2.7
31758556,15.783333333333333,12.833333333333334,14.233333333333334,,14.283333333333333,Kommunal,Österåker,Margretelundsskolan,Manfred Bondes väg 5,18462,Åkersberga,http://www.osteraker.se,J,18.342847,59.47359789999999,3.7
31903219,14.533333333333333,10.700000000000001,12.641666666666667,12.912500000000001,12.696875,Kommunal,Stockholm,Magelungsskolan,Ullerudsbacken 39,12373,Farsta,https://grundskola.stockholm/hitta-grundskola/grundskola/magelungsskolan-f-6/,J,18.1050214,59.23296929999999,3.5
32231541,17.241666666666667,15.9,15.6,,16.247222222222224,Enskild,Täby,Täby Friskola-Enhagen,Enhagsslingan 23-25,18740,Täby,http://www.tabyfriskola.se,N,18.0353056,59.4389704,2.8
32479095,15.583333333333334,14.333333333333334,15.725,,15.213888888888889,Kommunal,Sollentuna,Vaxmoraskolan,Diskusvägen 6,19248,Sollentuna,http://www.edu.sollentuna.se/vax/,J,17.94847,59.4545798,3.6
32886383,15.791666666666666,14.666666666666666,14.933333333333332,,15.130555555555555,Kommunal,Huddinge,Mörtviksskolan,Sonatvägen 2,14241,Skogås,http://www.huddinge.se/mortviksskolan,J,18.1633128,59.2160045,4.1
32965692,15.316666666666668,13.1,14.125,,14.180555555555557,Enskild,Nacka,Noblaskolan Saltsjö-Boo,Hedenströms väg 1,13242,Saltsjö-Boo,https://noblaskolan.se/saltsjo-boo/,J,18.2336434,59.3057816,3.0
32993837,16.708333333333332,13.5,15.750000000000002,,15.319444444444445,Kommunal,Sundbyberg,Ursvikskolan,Ursviksvägen 99 B,17446,Sundbyberg,http://www.sundbyberg.se/ursvikskolan,J,17.9670661,59.3814881,3.5
33455004,13.216666666666667,9.166666666666666,10.775,,11.052777777777777,Kommunal,Tyresö,Njupkärrs skola,Granängsstigen 1,13544,Tyresö,http://www.tyreso.se,J,18.2244921,59.23565540000001,3.3
33483759,17.487499999999997,13.8,14.525,,15.270833333333334,Enskild,Stockholm,Olympen Telefonplan,Flygelgatan 1,12628,Hägersten,http://www.olympen.se,J,18.0016959,59.2979479,2.2
33565539,15.612499999999999,13.75,14.0125,,14.458333333333334,Kommunal,Vallentuna,Gustav Vasaskolan,Lindholmsvägen 211,18694,Vallentuna,http://www.skolor.vallentuna.se/gustavvasa/,J,18.1044937,59.5882501,3.4
33624606,13.799999999999999,11.933333333333332,12.983333333333333,,12.905555555555553,Kommunal,Haninge,Måsöskolan,Måsövägen 3,13649,Vega,http://haninge.se/forskola-och-skola/grundskola/,J,18.1297978,59.1900906,3.9
34135484,16.941666666666666,13.800000000000002,14.658333333333331,,15.133333333333333,Enskild,Nacka,Noblaskolan Järla sjö,Winborgs väg 12,13160,Nacka,https://noblaskolan.se/jarla-sjo/,J,18.14973,59.304951,2.0
34148887,12.549999999999999,11.866666666666665,12.825,9.725,11.741666666666665,Kommunal,Södertälje,Blombackaskolan,Källgatan 8,15160,Södertälje,http://www.sodertalje.se/blombackaskolan,J,17.608933,59.19353839999999,4.3
34540901,17.308333333333334,13.433333333333332,14.708333333333334,14.275,14.93125,Enskild,Stockholm,Estniska Skolan i Stockholm,Svartmangatan 20-22,11129,Stockholm,http://www.estniskaskolan.se,J,18.0727373,59.32372340000001,4.0
34671128,13.875,11.033333333333333,13.199999999999998,,12.702777777777776,Kommunal,Stockholm,Solbergaskolan,Lerkrogsvägen 28,12679,Hägersten,https://grundskola.stockholm/hitta-grundskola/grundskola/solbergaskolan-f-6/,J,18.0057899,59.2902922,3.5
34814578,14.15,10.166666666666666,12.174999999999999,,12.16388888888889,Kommunal,Nynäshamn,Viaskolan 6-9,Skolgatan 35-37,14930,Nynäshamn,http://www.nynashamn.se/viaskolan,N,17.9492162,58.90952429999999,
35129114,18.5625,13.0,13.037500000000001,6.475,12.76875,Enskild,Stockholm,Internationella Engelska Skolan Årsta,Sköntorpsvägen 27 ,12038,Årsta,http://www.engelska.se,N,18.0624324,59.2979884,3.8
35547286,18.14166666666667,16.733333333333334,16.200000000000003,,17.025000000000002,Enskild,Stockholm,Carlssons skola,Kommendörsgatan 31,11458,Stockholm,http://www.carlssonsskola.se,J,18.084453,59.3380403,4.3
35890890,12.299999999999999,9.8,12.858333333333334,9.941666666666665,11.225,Enskild,Stockholm,Västerholms friskola,Vårbergsvägen 41-43,12747,Skärholmen,http://www.vasterholm.se,J,17.8997427,59.2735124,4.0
35933721,16.15,15.166666666666666,15.283333333333333,,15.533333333333331,Kommunal,Lidingö,Rudboda skola,Nilstorpsvägen 3,18147,Lidingö,https://www.lidingo.se/rudbodaskola,J,18.1800396,59.37442589999999,1.8
36031993,14.424999999999999,11.2,10.8125,,12.145833333333334,Kommunal,Stockholm,Vällingbyskolan,Offerdalsgatan 1-9,16264,Vällingby,https://grundskola.stockholm/hitta-grundskola/grundskola/vallingbyskolan-f-9/,J,17.8831132,59.36411570000001,2.4
36066067,17.925,17.066666666666666,16.958333333333332,,17.316666666666666,Enskild,Stockholm,Musikskolan Lilla Akademien,Norrtullsgatan 14,11345,Stockholm,http://www.lillaakademien.se,J,18.0494899,59.3467144,3.6
36185466,16.2875,15.1,14.25,,15.2125,Enskild,Lidingö,I Ur och Skur Utsikten skola,Kyrkviksstigen 3-9,18146,Lidingö,http://www.iurochskurutsikten.se,J,18.1603713,59.370834,3.7
36262199,15.966666666666667,13.266666666666666,14.458333333333334,,14.56388888888889,Kommunal,Salem,Nytorpsskolan,Tvillingvägen 10,14464,Rönninge,https://www.salem.se/barn--utbildning/grundskola/grundskolor/nytorpsskolan/,J,17.7306737,59.2017888,3.6
36281817,17.275000000000002,15.733333333333334,15.991666666666665,,16.333333333333336,Kommunal,Stockholm,Höglandsskolan,Höglandstorget,16771,Bromma,https://grundskola.stockholm/hitta-grundskola/grundskola/hoglandsskolan-f-9/,J,17.9413826,59.32362569999999,3.1
36350546,12.866666666666667,10.466666666666667,12.466666666666669,7.016666666666666,10.704166666666667,Kommunal,Botkyrka,Tunaskolan,Prästgårdsvägen 114,14740,Tumba,http://www.botkyrka.se/tunaskolan,J,17.8303879,59.204421,3.5
36513280,18.558333333333334,14.733333333333334,15.808333333333332,,16.366666666666667,Enskild,Lidingö,Futuraskolan International Gåshaga ,Värdshusvägen 3-5,18163,Lidingö,http://www.futuraskolan.se,J,18.225935,59.35737099999999,4.9
36520624,14.525,13.299999999999999,13.533333333333333,,13.786111111111111,Kommunal,Stockholm,Nybohovsskolan,Nybohovsbacken 57-59,11764,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/nybohovsskolan-f-6/,J,18.0162752,59.30756769999999,3.0
36689149,14.412500000000001,12.600000000000001,13.35,,13.454166666666667,Kommunal,Huddinge,Skogskällan,Källbrinksvägen 55,14131,Huddinge,https://www.huddinge.se/skogskallan,J,17.9615072,59.2488178,
37112288,16.866666666666664,13.766666666666667,15.908333333333333,,15.513888888888888,Enskild,Sundbyberg,Kulturama Grundsk. Sundbyberg,Lötsjövägen 10-12,17452,Sundbyberg,http://www.kulturama.se,N,17.9665058,59.3747079,3.9
37147254,15.158333333333333,13.766666666666666,13.941666666666668,,14.28888888888889,Kommunal,Tyresö,Kumla skola,Tors väg 12,13551,Tyresö,http://www.tyreso.se,J,18.2070447,59.22163819999999,3.2
37556682,14.166666666666666,10.6,12.6,10.2625,11.907291666666666,Enskild,Stockholm,Kista International School,Sibeliusgången 11,16477,Kista,http://www.kistaschool.se,J,17.9160874,59.4136684,3.9
37796564,14.412500000000001,13.95,12.125,,13.495833333333332,Kommunal,Stockholm,Akalla grundskola F-9,Mariehamnsgatan 3-5,16471,Kista,https://grundskola.stockholm/hitta-grundskola/grundskola/akalla-grundskola-f-9/,J,17.9097631,59.41601589999999,3.7
38394561,14.433333333333332,10.299999999999999,13.408333333333331,,12.713888888888889,Enskild,Södertälje,Södertälje friskola,Nyköpingsvägen 54,15132,Södertälje,http://www.sodertaljefriskola.se,J,17.6272985,59.1868148,4.0
38653015,14.35,11.866666666666667,13.266666666666666,,13.161111111111111,Kommunal,Södertälje,Pershagenskolan,Bränningestrandsvägen 4,15153,Södertälje,http://www.sodertalje.se/pershagenskolan.,J,17.6518244,59.1529801,2.5
38661388,13.791666666666666,11.966666666666669,13.358333333333334,,13.03888888888889,Kommunal,Botkyrka,Broängsskolan,Kärrvägen 20,14732,Tumba,http://www.botkyrka.se/broangsskolan,J,17.8095924,59.1830052,2.8
38758770,15.833333333333334,12.366666666666667,13.516666666666667,12.25,13.491666666666667,Kommunal,Stockholm,Farsta grundskola,Farstavägen 118,12332,Farsta,https://grundskola.stockholm/hitta-grundskola/grundskola/farsta-grundskola-med-adolf-fredriks-musikklasser-f-9/,J,18.0902162,59.2404638,3.9
38854084,15.9,11.866666666666667,13.875,,13.880555555555555,Kommunal,Sigtuna,Steningehöjdens skola,Solurstorget 5,19565,Steningehöjden,http://www.sigtuna.se,J,17.794468,59.62171619999999,3.8
38935587,18.5,14.800000000000002,14.058333333333332,,15.786111111111111,Enskild,Stockholm,Internationella Engelska Skolan Enskede ,Lingvägen 123,12245,Enskede,http://www.engelska.se,J,18.0846017,59.2619141,3.3
38975788,14.716666666666669,10.333333333333334,12.216666666666669,,12.422222222222224,Kommunal,Haninge,Tungelsta skola,Tungelstavägen 135,13755,Tungelsta,http://haninge.se/forskola-och-skola/grundskola/,J,18.0448787,59.1068395,1.8
39171821,14.958333333333334,13.200000000000001,14.033333333333333,9.975000000000001,13.041666666666668,Kommunal,Stockholm,Örbyskolan,Gamla Huddingevägen 425,12542,Älvsjö,https://grundskola.stockholm/hitta-grundskola/grundskola/orbyskolan-f-9/,J,18.0266113,59.27453619999999,3.7
39195819,16.675,14.166666666666666,15.575000000000001,,15.472222222222223,Kommunal,Ekerö,Sanduddens skola,Sanduddsvägen 4,17840,Ekerö,http://www.ekero.se/sanduddensskola,J,17.7786663,59.2726173,4.0
39229061,13.225,8.766666666666666,11.924999999999999,10.087499999999999,11.001041666666666,Kommunal,Huddinge,Östra grundskolan,Österleden 13,14263,Skogås,http://www.huddinge.se/ostragrundskolan,N,18.1515041,59.2162123,2.6
39907811,15.5375,13.2,14.462499999999999,11.962499999999999,13.790624999999999,Kommunal,Sollentuna,Sofielundsskolan,Sollentunavägen 192,19135,Sollentuna,http://www.sollentuna.se/sv/uweb/sofielundsskolan/,J,17.949875,59.43349679999999,4.4
40175889,13.841666666666669,10.5,12.725,11.058333333333335,12.031250000000002,Kommunal,Södertälje,Soldalaskolan,Lundbygatan 5,15147,Södertälje,http://www.sodertalje.se/soldalaskolan,J,17.6056156,59.1859985,3.1
40467992,16.78333333333333,14.133333333333333,13.291666666666666,,14.736111111111109,Enskild,Sollentuna,Futuraskolan International Hertig Karl,Ebba Brahes väg 1,19269,Sollentuna,http://www.futuraskolan.se,J,17.9098211,59.4771078,2.1
40631085,11.725,7.9333333333333345,,7.783333333333332,9.147222222222222,Kommunal,Botkyrka,Fittjaskolan Botkyrka Norra,Stökhagsvägen 1,14550,Norsborg,http://www.botkyrka.se/fittjaskolanbotkyrkanorra,J,17.8611468,59.2459564,3.5
40904373,15.283333333333333,12.966666666666667,15.0,,14.416666666666666,Kommunal,Ekerö,Närlundaskolan,Trädgårdsvägen 2,17832,Ekerö,http://www.ekero.se/narlundaskolan,J,17.7954939,59.2918163,1.8
41176931,16.60833333333333,15.333333333333334,14.758333333333335,,15.566666666666665,Kommunal,Stockholm,Gärdesskolan,Banérgatan 56,11553,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/gardesskolan-f-9/,J,18.0986132,59.34024109999999,3.2
41377165,15.85,15.7,16.950000000000003,,16.166666666666668,Kommunal,Ekerö,Sundby skola,Nyckelbyvägen 2,17890,Ekerö,http://www.ekero.se/sundbyskola,J,17.7168622,59.2882739,3.9
41405700,16.125,14.033333333333333,15.125,,15.094444444444443,Kommunal,Stockholm,Storkyrkoskolan,Svartmannagatan 20-22,11129,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/storkyrkoskolan-f-6/,J,18.0727364,59.3237239,4.6
41584790,14.066666666666668,13.766666666666666,13.125,,13.652777777777779,Enskild,Södertälje,Järna friskola,Ljungstigen 2,15336,Järna,http://www.jarnafriskola.se,J,17.5581688,59.0951876,4.1
41764666,16.291666666666668,14.800000000000002,15.316666666666668,,15.469444444444447,Kommunal,Stockholm,Långbrodalsskolan,Sländvägen 1,12558,Älvsjö,https://grundskola.stockholm/hitta-grundskola/grundskola/langbrodalsskolan-f-6/,J,17.988666,59.2769134,3.9
41888515,16.0,13.6,15.216666666666667,,14.93888888888889,Kommunal,Tyresö,Fårdala skola,Akvarievägen 2,13542,Tyresö,http://www.tyreso.se,J,18.2410956,59.2426773,
42149666,14.016666666666666,9.666666666666668,,10.433333333333334,11.372222222222222,Kommunal,Stockholm,Husbygårdsskolan F-9,Trondheimsgatan 21,16432,Kista,https://grundskola.stockholm/hitta-grundskola/grundskola/husbygardsskolan-4-9/,J,17.9243896,59.4107996,4.1
42202683,18.0,15.3,14.2625,,15.854166666666666,Enskild,Stockholm,Kungsholmens friskola,Pipersgatan 18,11224,Stockholm,http://www.kungsholmens-friskola.se,J,18.0460118,59.3308068,5.0
42215279,16.433333333333334,13.333333333333334,15.108333333333334,11.875,14.1875,Kommunal,Sigtuna,S:t Pers skola,S:t Persgatan 5-7,19332,Sigtuna,http://www.sigtuna.se/stpersskola,J,17.7121305,59.61776039999999,3.5
42328518,17.375,15.5,15.9,,16.258333333333333,Enskild,Stockholm,Franska Skolan/Ecole francaise,Döbelsgatan 9,11140,Stockholm,http://www.franskaskolan.se,J,18.0633494,59.3386105,3.6
42434583,14.683333333333332,12.799999999999999,12.866666666666665,,13.449999999999998,Kommunal,Värmdö,Brunns skola,Brunns centrum,13460,Ingarö,http://www.varmdo.se,J,18.4291508,59.2805708,2.7
42601396,14.466666666666667,11.866666666666667,13.0,,13.111111111111112,Kommunal,Huddinge,Trångsundsskolan,Löparvägen 4,14173,Trångsund,http://www.huddinge.se/trangsundsskolan,J,18.1316697,59.23198719999999,2.3
43038662,15.008333333333335,13.0,14.958333333333334,,14.322222222222223,Kommunal,Ekerö,Färentuna skola,Ölstavägen 5,17998,Färentuna,http://www.ekero.se/farentunaskola,J,17.6549521,59.394252,5.0
43088454,16.025000000000002,13.699999999999998,13.725,,14.483333333333334,Kommunal,Stockholm,Björkhagens skola,Karlskronavägen 10,12152,Johanneshov,https://grundskola.stockholm/hitta-grundskola/grundskola/bjorkhagens-skola-f-9/,J,18.1163777,59.2934966,3.4
43133926,16.816666666666666,14.0,14.225,,15.013888888888888,Kommunal,Solna,Bergshamraskolan,Hjortstigen 1,17071,Solna,http://www.solna.se,J,18.0303495,59.3831876,4.6
43134105,13.416666666666666,10.033333333333333,9.075,10.558333333333334,10.770833333333332,Enskild,Stockholm,Cordoba International School,Kottbygatan 7,16475,Kista,http://www.cordobaskolan.se,J,17.9230708,59.41830820000001,3.6
43138370,16.116666666666667,12.5,15.575000000000001,,14.730555555555556,Enskild,Sundbyberg,Vittra Brotorp,Boplatsvägen 1,17446,Sundbyberg,http://www.vittra.se/brotorp,J,17.9718154,59.38213549999999,3.9
43166282,16.625000000000004,14.800000000000002,14.741666666666667,,15.388888888888891,Kommunal,Stockholm,Nälstaskolan,Trolle Bondes gata,16272,Vällingby,https://grundskola.stockholm/hitta-grundskola/grundskola/nalstaskolan-f-6/,J,17.8852789,59.3705295,4.1
43238662,12.924999999999999,9.1,13.041666666666666,8.75,10.954166666666666,Kommunal,Botkyrka,Björkhaga Skola,Högbrinksvägen 4,14731,Tumba,http://www.botkyrka.se/bjorkhagaskola,J,17.8243656,59.1989022,2.5
43261877,17.7625,15.25,15.899999999999999,,16.304166666666667,Enskild,Vaxholm,Montessoriskolan i Vaxholm,Johannesbergsvägen 3A,18531,Vaxholm,http://www.monvax.com,J,18.3367842,59.4004437,5.0
